Word,Gender
kraken,m
carnivore,m
dzo,m
silo,m
par,m
sauna,m
haute,f
juvénat,m
gallon,m
bulldog,m
jazz,m
val,m
fur,m
question,f
chinchilla,m
agriculture,f
virus,m
gibbon,m
tarsier,m
exploit,m
prostitution,f
intestate,f
épée,f
barge,f
barge,f
coupon,m
consultant,m
cappuccino,m
cucu,m
69,m
biotech,f
ange,m
chaud,m
conjecture,f
Force,f
plat,m
tanzanite,f
apéritif,m
voyage,m
oligarchie,f
conviction,f
scare,m
flamberge,f
clone,m
driver,m
consultation,f
plosive,f
wishbone,m
marsupial,m
skeleton,m
plantation,f
loden,m
brownie,m
jurande,f
sportswoman,f
hongrois,m
like,m
exacerbation,f
database,f
primate,m
cheat,m
poisson d'avril,m
Dr,m
avril,m
têtard,m
venue,f
danse,f
testament,m
moi,m
section,f
præstation,f
bon mot,m
milieu,m
opium,m
spaghetti,m
sobriquet,m
cicatrice,f
camp,m
camp,m
apocalypse,f
intellect,m
aquarelle,f
porc,m
page,f
page,m
fine,f
gratitude,f
citron,m
hiatus,m
dot,f
verse,f
formation,f
père,m
chorus,m
population,f
saga,f
chas,m
dose,f
pustule,f
chai,m
chai,m
adjutant,m
contact,m
tierce,f
boxer,m
store,m
madre,m
thé,m
part,f
part,m
contradiction,f
mascara,m
flop,m
golf,m
twist,m
support,m
place,f
millet,m
cave,f
cave,m
mat,m
abat,m
smash,m
TNT,f
désastre,m
popote,f
vêtement,m
caron,m
collier,m
garde des reins,f
poulet,m
chapelle,f
brigandine,f
halecret,m
osier,m
bassinet,m
cure,f
corselet,m
foyer,m
tasse,f
gangue,f
objurgation,f
rondache,f
boiler,m
gousset,m
sabretache,f
mordant,m
surprise,f
année,f
feeling,m
plot,m
lambada,f
morion,m
morion,m
banderole,f
hadji,m
lundi,m
heureux,m
luminance,f
période,f
période,m
col,m
relation,f
pectoral,m
porter,m
zest,m
wrap,m
vortex,m
malle,f
rumba,f
glucoside,m
pine,f
underground,m
glycoside,m
barrel,m
frisson,m
spic,m
descendant,m
tag,m
quillon,m
fructose,m
vouloir,m
stretch,m
connexion,f
glaive,m
la majeur,m
la bémol majeur,m
cil,m
si bémol majeur,m
mi bémol majeur,m
invention,f
expulsion,f
si majeur,m
dire,m
omission,f
glockenspiel,m
suggestion,f
ion,m
glucose,m
chausse,f
drôle,m
illusion,f
structure,f
biome,m
pampa,f
faux pas,m
pennon,m
fusil,m
bard,m
phlegmon,m
station,f
soft,m
khamsin,m
obfuscation,f
prose,f
savant,m
moustique,m
caste,f
simulation,f
lys,m
quark,m
fibre,f
hacker,m
style,m
terrain de jeu,m
studio,m
mirage,m
seiche,f
seiche,f
charge,f
abugida,m
hindî,m
soap,m
indignation,f
dingo,m
marathe,m
pus,m
corset,m
nation,f
mantra,m
cooperation,f
leu,m
mamba,m
parapet,m
mix,m
record,m
rap,m
serf,m
bouquet,m
octave,f
loup-garou,m
aster,m
tarpan,m
stress,m
baryon,m
imitation,f
trader,m
névé,m
titre,m
zygote,m
click,m
tendon,m
prison,f
wergeld,m
hormone,f
virago,f
cannabis,m
justice,f
renard,m
client,m
malaria,f
nana,f
estimation,f
ouzo,m
lance,f
écran,m
guru,m
yen,m
geisha,f
goulot,m
joint,m
joint,m
lecture,f
collaboration,f
marijuana,f
possession,f
statue,f
marketing,m
septembre,m
news,m
guano,m
tessellation,f
castration,f
sixième,m
collusion,f
voix,f
architecture,f
pilum,m
